Date|Time|load15|load5|load1
09/17/2014|00:00:00|7.5369166667e-01|8.1897500000e-01|8.6835000000e-01
09/17/2014|00:10:00|7.5400833333e-01|7.3370000000e-01|6.5093333333e-01
09/17/2014|00:20:00|7.3161666667e-01|6.9875833333e-01|6.6633333333e-01
09/17/2014|00:30:00|7.5147500000e-01|7.8902500000e-01|8.8695000000e-01
09/17/2014|00:40:00|7.9111666667e-01|8.2835000000e-01|8.1473333333e-01
09/17/2014|00:50:00|7.6218333333e-01|7.4215000000e-01|7.2631666667e-01
09/17/2014|01:00:00|7.8008333333e-01|7.9551666667e-01|8.2747500000e-01
09/17/2014|01:10:00|8.5445000000e-01|9.1445000000e-01|8.8787500000e-01
09/17/2014|01:20:00|8.9426666667e-01|9.6350000000e-01|1.0583000000e+00
09/17/2014|01:30:00|9.1398333333e-01|9.3045000000e-01|8.9965000000e-01
09/17/2014|01:40:00|8.8690000000e-01|8.3195000000e-01|7.3081666667e-01
09/17/2014|01:50:00|9.8033333333e-01|1.1135583333e+00|1.3430916667e+00
09/17/2014|02:00:00|1.0628083333e+00|1.1052583333e+00|1.0035500000e+00
09/17/2014|02:10:00|9.7959166667e-01|8.9433333333e-01|7.6362500000e-01
09/17/2014|02:20:00|8.6348333333e-01|7.5928333333e-01|7.5543333333e-01
09/17/2014|02:30:00|7.9741666667e-01|7.1706666667e-01|6.7370000000e-01
09/17/2014|02:40:00|7.8195000000e-01|7.7961666667e-01|8.1738333333e-01
09/17/2014|02:50:00|7.8165000000e-01|7.8573333333e-01|7.9680000000e-01
09/17/2014|03:00:00|8.3056666667e-01|8.8348333333e-01|9.5146666667e-01
09/17/2014|03:10:00|8.2400000000e-01|8.0926666667e-01|7.3595000000e-01
09/17/2014|03:20:00|8.3731666667e-01|8.5971666667e-01|8.9110000000e-01
09/17/2014|03:30:00|9.5780000000e-01|1.0764166667e+00|1.1610833333e+00
09/17/2014|03:40:00|9.7295000000e-01|9.7120000000e-01|8.8113333333e-01
09/17/2014|03:50:00|8.5713333333e-01|7.5691666667e-01|7.0638333333e-01
09/17/2014|04:00:00|8.2660000000e-01|7.8805000000e-01|8.0223333333e-01
09/17/2014|04:10:00|7.7356666667e-01|7.0875000000e-01|6.7761666667e-01
09/17/2014|04:20:00|7.1700000000e-01|6.6653333333e-01|7.2013333333e-01
09/17/2014|04:30:00|7.7210000000e-01|8.0436666667e-01|8.2526666667e-01
09/17/2014|04:40:00|7.6858333333e-01|7.6400000000e-01|7.2500000000e-01
09/17/2014|04:50:00|7.5255000000e-01|7.2743333333e-01|7.0423333333e-01
09/17/2014|05:00:00|7.5109166667e-01|7.4892500000e-01|8.2536666667e-01
09/17/2014|05:10:00|7.7242500000e-01|7.6134166667e-01|6.8455000000e-01
09/17/2014|05:20:00|7.1566666667e-01|6.7821666667e-01|6.9255000000e-01
09/17/2014|05:30:00|7.1350000000e-01|7.1378333333e-01|7.2096666667e-01
09/17/2014|05:40:00|8.3446666667e-01|9.7575000000e-01|1.0931166667e+00
09/17/2014|05:50:00|8.7540000000e-01|9.0008333333e-01|8.2484166667e-01
09/17/2014|06:00:00|9.4869166667e-01|1.0435833333e+00|1.1646916667e+00
09/17/2014|06:10:00|9.6255833333e-01|9.5251666667e-01|8.3828333333e-01
09/17/2014|06:20:00|9.4625000000e-01|9.3640000000e-01|9.6990000000e-01
09/17/2014|06:30:00|9.3941666667e-01|9.2035833333e-01|9.2106666667e-01
09/17/2014|06:40:00|8.9228333333e-01|8.4812500000e-01|8.3803333333e-01
09/17/2014|06:50:00|9.0440000000e-01|8.9166666667e-01|8.4858333333e-01
09/17/2014|07:00:00|8.5273333333e-01|8.1865000000e-01|8.5988333333e-01
09/17/2014|07:10:00|8.4883333333e-01|8.3288333333e-01|7.6253333333e-01
09/17/2014|07:20:00|8.2468333333e-01|8.1178333333e-01|8.4335000000e-01
09/17/2014|07:30:00|8.8230000000e-01|9.3903333333e-01|9.8380000000e-01
09/17/2014|07:40:00|9.8050000000e-01|1.0886083333e+00|1.1255333333e+00
09/17/2014|07:50:00|9.6106666667e-01|9.4774166667e-01|9.1991666667e-01
09/17/2014|08:00:00|8.7500000000e-01|7.8738333333e-01|7.6184166667e-01
09/17/2014|08:10:00|9.6182500000e-01|1.0264416667e+00|1.0187000000e+00
