Date|Time|racc|rbyt|wacc|wbyt
09/17/2014|00:00:00|3.9696884605e+03|1.0504348679e+08|2.9403241667e+02|7.9880022479e+06
09/17/2014|00:10:00|3.8071666707e+03|1.0645763781e+08|2.1918665382e+02|6.7068812467e+06
09/17/2014|00:20:00|4.2019295332e+03|1.1150662054e+08|2.2447481987e+02|6.8467218321e+06
09/17/2014|00:30:00|4.2896108949e+03|1.2176903726e+08|3.3207150080e+02|7.6232987619e+06
09/17/2014|00:40:00|3.2888239801e+03|1.1438714183e+08|2.4051166587e+02|7.6496046621e+06
09/17/2014|00:50:00|3.2408694298e+03|1.0474942062e+08|2.4259383333e+02|7.3741328056e+06
09/17/2014|01:00:00|3.3482208631e+03|1.0709269549e+08|3.3453797811e+02|9.7018738112e+06
09/17/2014|01:10:00|3.2732074790e+03|9.8841905992e+07|3.0410810960e+02|8.5612554969e+06
09/17/2014|01:20:00|3.5638005439e+03|1.1453034439e+08|3.2091081579e+02|8.3698811015e+06
09/17/2014|01:30:00|2.9720397018e+03|9.6970147427e+07|2.8906397368e+02|7.0809116070e+06
09/17/2014|01:40:00|3.8574304825e+03|1.0045905353e+08|2.1464295614e+02|6.3807885272e+06
09/17/2014|01:50:00|4.7673128662e+03|1.1562451408e+08|2.2236207828e+02|6.5846591285e+06
09/17/2014|02:00:00|4.5588124277e+03|1.2320529829e+08|2.9781972435e+02|8.2299746063e+06
09/17/2014|02:10:00|3.0229398728e+03|1.0115396010e+08|2.5646636404e+02|7.8189035026e+06
09/17/2014|02:20:00|3.0743368589e+03|1.0306869605e+08|2.2923985327e+02|6.9272919575e+06
09/17/2014|02:30:00|2.9899483868e+03|9.7041135712e+07|2.8621947129e+02|7.0883691434e+06
09/17/2014|02:40:00|3.2430361667e+03|1.0882824938e+08|2.1816299123e+02|6.6382612211e+06
09/17/2014|02:50:00|3.4182185877e+03|1.1449550587e+08|2.7773143860e+02|8.8233066307e+06
09/17/2014|03:00:00|3.6326347500e+03|1.1762066639e+08|4.6404974561e+02|1.4646361661e+07
09/17/2014|03:10:00|3.0995326667e+03|1.0495318310e+08|3.4130383333e+02|8.5119153920e+06
09/17/2014|03:20:00|2.9522623289e+03|9.6953628980e+07|3.4350730702e+02|7.1977016320e+06
09/17/2014|03:30:00|3.0629347719e+03|9.9963523207e+07|3.6730134211e+02|7.2584525968e+06
09/17/2014|03:40:00|3.1489121491e+03|1.1010862404e+08|3.7644835088e+02|8.2621004306e+06
09/17/2014|03:50:00|3.1951608222e+03|1.0473816057e+08|3.0270780064e+02|7.7459493261e+06
09/17/2014|04:00:00|3.1836986164e+03|1.0468347570e+08|2.9112648006e+02|7.7073321021e+06
09/17/2014|04:10:00|2.9967079298e+03|1.0040275277e+08|2.2684454386e+02|7.0194475116e+06
09/17/2014|04:20:00|3.5549814123e+03|1.1761277362e+08|2.6484791228e+02|7.8166074925e+06
09/17/2014|04:30:00|3.3461984298e+03|1.0916849983e+08|3.0342101754e+02|7.4285130375e+06
09/17/2014|04:40:00|3.3574848728e+03|1.1733407812e+08|2.4678841228e+02|7.6758764149e+06
09/17/2014|04:50:00|3.2231969430e+03|1.0821290873e+08|2.4592872807e+02|7.6973758698e+06
09/17/2014|05:00:00|3.3614654211e+03|1.0699779879e+08|4.1543077632e+02|1.0849221380e+07
09/17/2014|05:10:00|3.1064165526e+03|1.0292848002e+08|3.8079116228e+02|8.4578195178e+06
09/17/2014|05:20:00|2.9137890726e+03|9.1449460576e+07|2.3249764195e+02|6.6527064502e+06
09/17/2014|05:30:00|3.4129673397e+03|1.1324345821e+08|3.1926545455e+02|8.0056067973e+06
09/17/2014|05:40:00|3.0940731842e+03|1.0327558027e+08|3.6508690351e+02|1.2606728708e+07
09/17/2014|05:50:00|3.0651239649e+03|9.4059250052e+07|2.2706846491e+02|6.2801025280e+06
09/17/2014|06:00:00|3.2809999912e+03|1.0961188434e+08|4.4382923246e+02|1.0216541364e+07
09/17/2014|06:10:00|2.9510794474e+03|9.5308294018e+07|3.1019730263e+02|9.7886610751e+06
09/17/2014|06:20:00|3.0566945877e+03|9.4468029822e+07|2.5274496491e+02|7.6924378947e+06
09/17/2014|06:30:00|3.0852149817e+03|1.0040346718e+08|3.1201356220e+02|7.4875204079e+06
09/17/2014|06:40:00|2.9324550271e+03|9.8872082499e+07|2.1887760447e+02|6.2133059511e+06
09/17/2014|06:50:00|3.4750518333e+03|1.0865314060e+08|2.6123625439e+02|7.1577462299e+06
09/17/2014|07:00:00|3.8606835000e+03|1.2806933818e+08|3.9389300877e+02|1.1527441071e+07
09/17/2014|07:10:00|3.4085028333e+03|1.1925222203e+08|2.4702331579e+02|7.4256790501e+06
09/17/2014|07:20:00|3.6383416491e+03|1.2206901832e+08|5.4577121053e+02|7.4321126804e+06
09/17/2014|07:30:00|3.3028296711e+03|1.0784820460e+08|7.1970199561e+02|8.2765619200e+06
09/17/2014|07:40:00|2.7078521926e+03|8.1755507008e+07|7.4801144697e+02|7.9171371116e+06
09/17/2014|07:50:00|3.6559741786e+03|1.1100309091e+08|6.7972226010e+02|7.4487440337e+06
09/17/2014|08:00:00|3.6457886507e+03|1.2077760309e+08|8.5197802100e+02|1.1924491072e+07
09/17/2014|08:10:00|4.2966849896e+03|1.4448825626e+08|6.2031294458e+02|1.6765308271e+07
09/17/2014|08:20:00|3.2073976595e+03|9.6492983213e+07|2.5321719139e+02|6.6362758753e+06
09/17/2014|08:30:00|3.4753474912e+03|1.1377407370e+08|3.4584028947e+02|8.0251533159e+06
09/17/2014|08:40:00|3.2825372281e+03|1.0091195008e+08|6.0352776316e+02|1.8775906479e+07
09/17/2014|08:50:00|3.2077339430e+03|1.0063059303e+08|2.8259591667e+02|7.3593035004e+06
09/17/2014|09:00:00|3.6661452763e+03|1.2419910619e+08|5.2062526754e+02|1.5970939096e+07
09/17/2014|09:10:00|3.3279361336e+03|1.1144901090e+08|7.2907806074e+02|1.8950326584e+07
09/17/2014|09:20:00|3.5881016086e+03|1.1982665765e+08|8.1834500505e+02|2.0017984131e+07
09/17/2014|09:30:00|3.3348057315e+03|1.0671953694e+08|6.8434633333e+02|1.1444095128e+07
09/17/2014|09:40:00|3.3662945175e+03|1.1870961752e+08|4.6953880263e+02|8.4330745510e+06
09/17/2014|09:50:00|3.7970446491e+03|1.2296683731e+08|5.1744803070e+02|1.0451219636e+07
09/17/2014|10:00:00|3.4289810263e+03|1.1452166152e+08|4.1222019737e+02|9.0270858644e+06
09/17/2014|10:10:00|3.1566884561e+03|1.0765709902e+08|2.6068297368e+02|7.4968606945e+06
09/17/2014|10:20:00|3.3297544781e+03|1.0888456122e+08|8.0254818421e+02|1.2606365319e+07
09/17/2014|10:30:00|3.4382573202e+03|1.1189403363e+08|1.6476778333e+03|1.9183230019e+07
09/17/2014|10:40:00|4.4785642544e+03|1.6660580538e+08|4.4890806140e+02|1.3853287707e+07
09/17/2014|10:50:00|3.4698958509e+03|1.0417111544e+08|2.6487821053e+02|7.6850509204e+06
09/17/2014|11:00:00|3.7965144011e+03|1.0914541600e+08|3.6594469688e+02|1.0385022568e+07
09/17/2014|11:10:00|4.4268145375e+03|1.5192487486e+08|3.8126400487e+02|8.9812107627e+06
09/17/2014|11:20:00|4.4850106930e+03|1.5751828907e+08|3.6647092105e+02|8.8640253305e+06
09/17/2014|11:30:00|3.6928967325e+03|1.2118499176e+08|3.3673525000e+02|8.0296676199e+06
09/17/2014|11:40:00|3.2879626711e+03|1.0863704310e+08|2.0415427632e+02|5.7907845524e+06
