Date|Time|in|out|pktin|pktout
09/17/2014|00:00:00|3.2092961583e+05|5.5032151115e+06|1.1728624159e+03|4.3119555303e+03
09/17/2014|00:10:00|3.6579192106e+05|1.3601666627e+07|1.5156280841e+03|9.6588073644e+03
09/17/2014|00:20:00|2.9633538804e+05|3.8335385489e+05|9.5876264035e+02|9.5569750877e+02
09/17/2014|00:30:00|3.2367851543e+05|4.0049626988e+05|9.1423040351e+02|9.1141811842e+02
09/17/2014|00:40:00|2.9050890606e+05|4.0348030219e+05|8.6186123684e+02|8.7515034649e+02
09/17/2014|00:50:00|3.4384409977e+05|4.0072182272e+05|1.0378785132e+03|1.0121713202e+03
09/17/2014|01:00:00|5.0260826033e+05|4.8139233358e+05|1.0510707500e+03|1.0344311667e+03
09/17/2014|01:10:00|6.5084495816e+05|6.3469399998e+05|1.4158939474e+03|1.3833881360e+03
09/17/2014|01:20:00|8.3168038534e+05|2.3080452265e+06|1.4508033860e+03|2.4295994474e+03
09/17/2014|01:30:00|5.1395438013e+05|5.0749315289e+05|1.1312547368e+03|1.1283410877e+03
09/17/2014|01:40:00|8.0410821875e+05|7.9427904973e+05|1.5897760351e+03|1.5888161491e+03
09/17/2014|01:50:00|1.0531191848e+06|1.0237535967e+06|1.9254252193e+03|1.8898073421e+03
09/17/2014|02:00:00|3.0374456759e+06|5.2616788782e+05|2.8295367983e+03|1.8722512173e+03
09/17/2014|02:10:00|4.7495268420e+06|4.6583387666e+05|3.9390219402e+03|2.3173292845e+03
09/17/2014|02:20:00|7.3212647925e+06|6.0109138546e+05|5.7803675334e+03|3.2595046736e+03
09/17/2014|02:30:00|5.1732691224e+05|5.0609889723e+05|1.1205828075e+03|1.0765851328e+03
09/17/2014|02:40:00|3.8833147033e+05|4.7240203293e+05|1.0141635126e+03|9.9724602946e+02
09/17/2014|02:50:00|4.4173029945e+05|6.7709037376e+05|1.2077879079e+03|1.2665347675e+03
09/17/2014|03:00:00|6.7393068043e+05|1.3316101033e+06|1.3691834111e+03|1.7247239673e+03
09/17/2014|03:10:00|9.8440369292e+05|3.8075177982e+05|1.3058893895e+03|1.0447492384e+03
09/17/2014|03:20:00|2.7170438071e+05|1.6181174594e+06|7.4322662919e+02|1.5555504434e+03
09/17/2014|03:30:00|2.2591616870e+05|2.0219444408e+06|7.7335317544e+02|1.8469611053e+03
09/17/2014|03:40:00|2.6231719568e+05|4.1397239873e+05|8.5671879825e+02|8.6081594737e+02
09/17/2014|03:50:00|2.2613346395e+05|2.5801300253e+05|6.3358516667e+02|6.2539279825e+02
09/17/2014|04:00:00|5.6871817294e+05|3.4618144912e+05|9.8810775439e+02|8.8139178947e+02
09/17/2014|04:10:00|1.5092479830e+06|2.6248376167e+05|1.5284926842e+03|1.0585153947e+03
09/17/2014|04:20:00|9.4941907318e+05|3.1086629603e+05|1.2491750833e+03|9.8771196491e+02
09/17/2014|04:30:00|2.8925882640e+05|3.2675910620e+05|7.5586902193e+02|7.4914247368e+02
09/17/2014|04:40:00|2.9053979259e+05|3.9457159325e+05|8.2548647368e+02|8.5352344737e+02
09/17/2014|04:50:00|4.2879940277e+05|4.8548365170e+05|1.0419977544e+03|1.0533399737e+03
09/17/2014|05:00:00|5.9471927182e+05|4.9610267493e+05|1.1516057500e+03|1.0749373553e+03
09/17/2014|05:10:00|5.6084868558e+05|7.4179566200e+05|1.4340487500e+03|1.4655156667e+03
09/17/2014|05:20:00|4.6479219886e+05|1.5212873609e+06|1.2633305530e+03|1.8464286061e+03
09/17/2014|05:30:00|5.5664084730e+05|8.9261485675e+05|1.3670639119e+03|1.4527793457e+03
09/17/2014|05:40:00|5.3733444665e+05|7.3201062861e+05|1.2724481228e+03|1.3109950526e+03
09/17/2014|05:50:00|4.9897859196e+05|6.6596666265e+05|1.2299961228e+03|1.2533786667e+03
09/17/2014|06:00:00|9.4121913911e+05|1.2570546986e+06|2.2332289578e+03|2.3028712734e+03
09/17/2014|06:10:00|8.2087161555e+05|1.1863455010e+06|2.1190702878e+03|2.2308224284e+03
09/17/2014|06:20:00|7.8003466686e+05|1.1943342542e+06|1.9235327895e+03|2.0664647719e+03
09/17/2014|06:30:00|1.0903921138e+06|1.1567264642e+06|2.1065405614e+03|2.1038282807e+03
09/17/2014|06:40:00|9.2893321123e+05|1.2384917438e+06|2.0093479312e+03|2.0914067244e+03
09/17/2014|06:50:00|1.1057168712e+06|1.5105710409e+06|2.4490427092e+03|2.3820417844e+03
09/17/2014|07:00:00|7.6281818616e+05|1.3370740698e+06|1.9430707193e+03|2.1409516491e+03
09/17/2014|07:10:00|7.6001669189e+05|1.4351276115e+06|2.2379717592e+03|2.4211045159e+03
09/17/2014|07:20:00|9.6714305628e+05|4.8054806576e+06|2.4576967408e+03|4.6744760674e+03
09/17/2014|07:30:00|9.3686688187e+05|1.3865097497e+06|2.2809740132e+03|2.3911860000e+03
09/17/2014|07:40:00|9.6305554159e+05|1.5127957796e+06|2.3741471228e+03|2.5495354386e+03
09/17/2014|07:50:00|7.8954537573e+05|1.3292989083e+06|2.0784533640e+03|2.2313707149e+03
09/17/2014|08:00:00|8.5978518237e+05|2.1117017781e+06|2.2461480877e+03|2.8079180395e+03
09/17/2014|08:10:00|9.0605002446e+05|2.4467159518e+06|2.6112479211e+03|3.2957024868e+03
09/17/2014|08:20:00|1.0119140541e+06|1.5299140481e+06|2.6680167456e+03|2.8691026922e+03
09/17/2014|08:30:00|8.5622426976e+05|1.4867543760e+06|2.5025278772e+03|2.7156315534e+03
09/17/2014|08:40:00|7.9209316722e+05|1.4800948691e+06|2.3422795789e+03|2.5730593772e+03
09/17/2014|08:50:00|8.1543546263e+05|1.4138672633e+06|2.3430317719e+03|2.5525890877e+03
09/17/2014|09:00:00|9.0962455657e+05|1.5947069331e+06|2.4873304956e+03|2.7538868816e+03
09/17/2014|09:10:00|8.6908336432e+05|2.3096091897e+06|3.0541322022e+03|3.6445633712e+03
09/17/2014|09:20:00|9.0633953603e+05|6.9071993727e+06|3.1560259968e+03|6.5922497608e+03
09/17/2014|09:30:00|1.0292974588e+06|2.8124759378e+06|2.9781031037e+03|3.5275175917e+03
09/17/2014|09:40:00|1.1702635507e+06|2.1695829919e+06|2.7426342193e+03|3.0634349211e+03
09/17/2014|09:50:00|1.1974519806e+06|1.2888649520e+06|2.4386704322e+03|2.4446863628e+03
09/17/2014|10:00:00|7.6627678586e+05|1.4645959695e+06|2.3537389440e+03|2.5992246498e+03
09/17/2014|10:10:00|3.1947142371e+06|1.4148175375e+06|4.2762177705e+03|3.5301541301e+03
09/17/2014|10:20:00|7.4533172752e+06|1.8465275134e+06|7.3671558270e+03|5.0890155678e+03
09/17/2014|10:30:00|6.6645317678e+06|1.4926656200e+06|6.3941799386e+03|4.3450602807e+03
09/17/2014|10:40:00|7.2027959446e+05|1.4083987198e+06|2.4073527729e+03|2.6409776098e+03
09/17/2014|10:50:00|7.4785765834e+05|1.4744112333e+06|2.3296614268e+03|2.6233661827e+03
09/17/2014|11:00:00|8.6055569342e+05|1.7278014180e+06|2.6404279407e+03|2.9951690146e+03
09/17/2014|11:10:00|7.6064144798e+05|1.6626128783e+06|2.6141224171e+03|2.9325380603e+03
09/17/2014|11:20:00|6.6741886672e+05|7.0844160822e+06|2.3328088636e+03|6.1929248914e+03
