Date|Time|cpuusr|cpunic|cpusys|cpuidl|cpuiow|prochirq|procsirq
09/17/2014|00:00:00|4.1029102147e-01|0.0000000000e+00|4.9442938344e-01|9.8348882299e+01|3.7868231587e-01|1.6191595227e-04|1.9114384185e-02
09/17/2014|00:10:00|4.2861377006e-01|0.0000000000e+00|5.6832773497e-01|9.7172711428e+01|1.1957252285e+00|8.2795420220e-05|4.8993091246e-02
09/17/2014|00:20:00|4.0112409047e-01|0.0000000000e+00|4.6902596874e-01|9.8716462284e+01|4.7025177297e-02|4.1837153065e-05|4.5323795972e-03
09/17/2014|00:30:00|3.9167799752e-01|0.0000000000e+00|4.4384976102e-01|9.8772505285e+01|3.7410931129e-02|0.0000000000e+00|3.6641367740e-03
09/17/2014|00:40:00|3.9235094751e-01|0.0000000000e+00|4.6014903602e-01|9.8762638279e+01|4.6208550172e-02|4.1662500417e-05|4.5536622921e-03
09/17/2014|00:50:00|3.9816711985e-01|0.0000000000e+00|4.6623938802e-01|9.8707916982e+01|3.2663335510e-02|4.1553433560e-05|5.0097374256e-03
09/17/2014|01:00:00|4.2097166369e-01|0.0000000000e+00|4.7769216683e-01|9.8683008976e+01|3.9320798627e-02|1.2505795411e-04|5.8772920115e-03
09/17/2014|01:10:00|4.0249819151e-01|0.0000000000e+00|4.7171164136e-01|9.8727320585e+01|3.9896101463e-02|1.2449855176e-04|6.0752942197e-03
09/17/2014|01:20:00|4.0142382098e-01|0.0000000000e+00|4.7186150352e-01|9.8644370176e+01|3.5181852458e-02|1.1611976808e-04|1.0176592660e-02
09/17/2014|01:30:00|4.0987907077e-01|0.0000000000e+00|4.6309500635e-01|9.8742189593e+01|3.6724361221e-02|4.5810201089e-05|4.2081012705e-03
09/17/2014|01:40:00|4.1551769930e-01|0.0000000000e+00|4.7415398451e-01|9.8698243895e+01|2.9163585081e-02|4.1491365647e-05|4.8003260829e-03
09/17/2014|01:50:00|4.0061631268e-01|0.0000000000e+00|4.6802884737e-01|9.8688961206e+01|3.7576273159e-02|4.1180734005e-05|6.2968322521e-03
09/17/2014|02:00:00|4.0590764871e-01|0.0000000000e+00|4.8453259607e-01|9.8548544344e+01|1.6894195151e-01|4.1627120902e-05|5.9521685405e-03
09/17/2014|02:10:00|4.1383560972e-01|0.0000000000e+00|4.7027629709e-01|9.8683042788e+01|3.5734094954e-02|0.0000000000e+00|6.8659438223e-03
09/17/2014|02:20:00|3.9175321763e-01|0.0000000000e+00|4.6515324259e-01|9.8615487740e+01|2.9831555907e-02|4.1358545503e-05|9.6469295315e-03
09/17/2014|02:30:00|4.1235884085e-01|0.0000000000e+00|4.6351153024e-01|9.8719790964e+01|3.9030651862e-02|4.1397582381e-05|4.4314160215e-03
09/17/2014|02:40:00|4.2557894147e-01|0.0000000000e+00|4.8348979964e-01|9.8708485988e+01|4.0520004887e-02|4.1622962556e-05|4.2561219056e-03
09/17/2014|02:50:00|4.1107404501e-01|0.0000000000e+00|4.7604532534e-01|9.8555399139e+01|4.3462147025e-02|0.0000000000e+00|6.2342412063e-03
09/17/2014|03:00:00|3.9721648652e-01|0.0000000000e+00|4.5456387159e-01|9.8772279427e+01|4.0993365516e-02|4.5565635226e-05|4.1421672510e-03
09/17/2014|03:10:00|3.9375471524e-01|0.0000000000e+00|4.5711421610e-01|9.8878007097e+01|3.4521384200e-02|0.0000000000e+00|3.2936307792e-03
09/17/2014|03:20:00|3.8807954198e-01|0.0000000000e+00|4.5603634789e-01|9.8875764510e+01|5.6146476360e-02|4.1537899179e-05|6.7285936678e-03
09/17/2014|03:30:00|4.0331710212e-01|0.0000000000e+00|4.5919292701e-01|9.8806711840e+01|9.5324514678e-02|4.1256167797e-05|6.0498835177e-03
09/17/2014|03:40:00|3.8939105213e-01|0.0000000000e+00|4.5399368930e-01|9.8886036954e+01|4.0582585953e-02|7.9929998149e-05|2.8770310533e-03
09/17/2014|03:50:00|3.8118476364e-01|0.0000000000e+00|4.3425140723e-01|9.8989331617e+01|3.8166493848e-02|0.0000000000e+00|1.9563013795e-03
09/17/2014|04:00:00|4.0970995275e-01|0.0000000000e+00|4.5896818508e-01|9.8872498301e+01|3.2634327428e-02|4.1348284873e-05|2.6053713358e-03
09/17/2014|04:10:00|3.8926412876e-01|0.0000000000e+00|4.5971560122e-01|9.8924024934e+01|3.4470313062e-02|4.1411982971e-05|2.9418915203e-03
09/17/2014|04:20:00|3.9379078815e-01|0.0000000000e+00|4.5889737810e-01|9.8881254595e+01|3.6912248360e-02|0.0000000000e+00|3.8412331138e-03
09/17/2014|04:30:00|3.9612023080e-01|0.0000000000e+00|4.5288160463e-01|9.8930718970e+01|3.5670974072e-02|4.1194984099e-05|2.1871705232e-03
09/17/2014|04:40:00|4.0548518010e-01|0.0000000000e+00|4.5729107600e-01|9.8891957495e+01|3.8502906626e-02|0.0000000000e+00|3.0155108696e-03
09/17/2014|04:50:00|4.0168434794e-01|0.0000000000e+00|4.7311039979e-01|9.8797078100e+01|3.1252241086e-02|7.8853225097e-05|3.8710681151e-03
