Date|Time|load15|load5|load1
09/17/2014|00:00:00|2.6641666667e-01|1.8026666667e-01|1.8194166667e-01
09/17/2014|00:10:00|3.0897500000e-01|3.3955000000e-01|3.4085833333e-01
09/17/2014|00:20:00|2.3942500000e-01|1.7573333333e-01|1.3611666667e-01
09/17/2014|00:30:00|2.5790833333e-01|2.9176666667e-01|4.1341666667e-01
09/17/2014|00:40:00|3.0660000000e-01|3.2525833333e-01|2.4753333333e-01
09/17/2014|00:50:00|2.6392500000e-01|2.4703333333e-01|2.9041666667e-01
09/17/2014|01:00:00|3.5465833333e-01|4.3010000000e-01|4.0332500000e-01
09/17/2014|01:10:00|3.1899166667e-01|3.0698333333e-01|3.6036666667e-01
09/17/2014|01:20:00|3.8637500000e-01|4.3950833333e-01|4.7672500000e-01
09/17/2014|01:30:00|4.2861666667e-01|4.6559166667e-01|3.9996666667e-01
09/17/2014|01:40:00|3.6214166667e-01|3.0025000000e-01|2.4642500000e-01
09/17/2014|01:50:00|3.3245833333e-01|3.1333333333e-01|3.6165000000e-01
09/17/2014|02:00:00|3.4482500000e-01|3.6416666667e-01|4.3629166667e-01
09/17/2014|02:10:00|3.6781666667e-01|3.6227500000e-01|2.7147500000e-01
09/17/2014|02:20:00|3.0133333333e-01|2.5002500000e-01|2.6299166667e-01
09/17/2014|02:30:00|3.2870000000e-01|3.4780000000e-01|3.3143333333e-01
09/17/2014|02:40:00|2.5590833333e-01|2.0032500000e-01|1.8153333333e-01
09/17/2014|02:50:00|2.4069166667e-01|2.4266666667e-01|2.4835833333e-01
09/17/2014|03:00:00|2.8877500000e-01|3.3856666667e-01|3.5578333333e-01
09/17/2014|03:10:00|2.8867500000e-01|2.7989166667e-01|2.6649166667e-01
09/17/2014|03:20:00|3.2185833333e-01|3.4986666667e-01|4.1866666667e-01
09/17/2014|03:30:00|3.8871666667e-01|4.2701666667e-01|3.8510833333e-01
09/17/2014|03:40:00|3.4149166667e-01|3.2600000000e-01|3.5895833333e-01
09/17/2014|03:50:00|4.0228333333e-01|4.6701666667e-01|5.1554166667e-01
09/17/2014|04:00:00|3.9885000000e-01|3.9588333333e-01|3.6554166667e-01
09/17/2014|04:10:00|3.9715833333e-01|3.8882500000e-01|4.0889166667e-01
09/17/2014|04:20:00|4.0803333333e-01|4.0527500000e-01|3.9465833333e-01
09/17/2014|04:30:00|4.0333333333e-01|3.9031666667e-01|3.9175000000e-01
09/17/2014|04:40:00|4.0960833333e-01|4.1481666667e-01|4.4559166667e-01
09/17/2014|04:50:00|4.9088333333e-01|5.8173333333e-01|6.3629166667e-01
09/17/2014|05:00:00|4.3746666667e-01|3.7759166667e-01|2.9246666667e-01
09/17/2014|05:10:00|4.7694166667e-01|5.1845000000e-01|5.5599166667e-01
09/17/2014|05:20:00|4.0080833333e-01|3.2217500000e-01|2.6905833333e-01
09/17/2014|05:30:00|4.2589166667e-01|4.6445833333e-01|5.7785833333e-01
09/17/2014|05:40:00|4.2794166667e-01|3.9375833333e-01|2.8805000000e-01
09/17/2014|05:50:00|3.6105833333e-01|3.0095000000e-01|2.9834166667e-01
09/17/2014|06:00:00|4.1201666667e-01|4.7057500000e-01|5.4134166667e-01
09/17/2014|06:10:00|3.9697500000e-01|3.6768333333e-01|2.7418333333e-01
09/17/2014|06:20:00|4.2930833333e-01|4.8235000000e-01|5.6987500000e-01
09/17/2014|06:30:00|3.6675000000e-01|2.7354166667e-01|1.5392500000e-01
09/17/2014|06:40:00|3.5930833333e-01|3.8532500000e-01|4.7763333333e-01
09/17/2014|06:50:00|3.4963333333e-01|3.0412500000e-01|2.2174166667e-01
09/17/2014|07:00:00|3.5318333333e-01|3.5570000000e-01|3.5847500000e-01
09/17/2014|07:10:00|3.1325000000e-01|2.8801666667e-01|3.2210833333e-01
09/17/2014|07:20:00|2.6851666667e-01|2.0666666667e-01|1.3241666667e-01
09/17/2014|07:30:00|2.2740000000e-01|1.9662500000e-01|2.4160000000e-01
09/17/2014|07:40:00|3.0783333333e-01|3.7004166667e-01|3.7116666667e-01
09/17/2014|07:50:00|2.9085833333e-01|2.7076666667e-01|2.6951666667e-01
09/17/2014|08:00:00|3.0021666667e-01|2.9800000000e-01|3.4475000000e-01
09/17/2014|08:10:00|3.7289166667e-01|4.1165833333e-01|3.6766666667e-01
09/17/2014|08:20:00|3.1051666667e-01|2.6530833333e-01|2.6139166667e-01
09/17/2014|08:30:00|3.5157500000e-01|4.0232500000e-01|4.7571666667e-01
09/17/2014|08:40:00|3.1083333333e-01|2.5050833333e-01|1.5553333333e-01
09/17/2014|08:50:00|2.5945833333e-01|2.2786666667e-01|2.6376666667e-01
09/17/2014|09:00:00|3.3855833333e-01|4.0959166667e-01|4.2451666667e-01
09/17/2014|09:10:00|2.9858333333e-01|2.5715000000e-01|2.0633333333e-01
09/17/2014|09:20:00|3.2591666667e-01|3.5235833333e-01|4.0887500000e-01
09/17/2014|09:30:00|3.3005833333e-01|3.3653333333e-01|2.9785000000e-01
09/17/2014|09:40:00|3.1050833333e-01|2.9033333333e-01|2.8456666667e-01
09/17/2014|09:50:00|2.9567500000e-01|2.6228333333e-01|2.4960833333e-01
09/17/2014|10:00:00|2.7936666667e-01|2.5355833333e-01|2.5773333333e-01
09/17/2014|10:10:00|2.7562500000e-01|2.7575833333e-01|2.9110000000e-01
09/17/2014|10:20:00|2.5626666667e-01|2.3385833333e-01|2.0484166667e-01
09/17/2014|10:30:00|2.5310000000e-01|2.6907500000e-01|3.1088333333e-01
09/17/2014|10:40:00|2.8774166667e-01|3.1888333333e-01|3.2675833333e-01
09/17/2014|10:50:00|3.1409166667e-01|3.2336666667e-01|3.2767500000e-01
09/17/2014|11:00:00|3.0673333333e-01|2.8999166667e-01|2.6286666667e-01
09/17/2014|11:10:00|2.9950833333e-01|2.8340833333e-01|2.9350000000e-01
