Date|Time|racc|rbyt|wacc|wbyt
09/17/2014|00:00:00|6.6317278026e+02|9.2581088994e+06|1.2102371403e+02|1.8052239771e+06
09/17/2014|00:10:00|1.6062832197e+03|2.0512559469e+07|1.0227197018e+02|1.3640798803e+06
09/17/2014|00:20:00|7.2474361404e+02|7.4409241465e+06|9.2716903509e+01|9.8765608421e+05
09/17/2014|00:30:00|5.1949836404e+02|4.3964651340e+06|9.6880688596e+01|9.8648556688e+05
09/17/2014|00:40:00|5.8509670614e+02|7.3413212654e+06|9.2259662281e+01|9.1886699789e+05
09/17/2014|00:50:00|8.2069546053e+02|8.1420767079e+06|8.1845587719e+01|9.2516180211e+05
09/17/2014|01:00:00|8.1339150000e+02|6.9757989973e+06|1.0494575000e+02|1.6310874453e+06
09/17/2014|01:10:00|7.6672277632e+02|8.8150654316e+06|9.4160539474e+01|1.0815913342e+06
09/17/2014|01:20:00|9.1828464035e+02|1.1450233214e+07|1.4306729386e+02|2.9732266712e+06
09/17/2014|01:30:00|5.3723303509e+02|4.7108795329e+06|9.0727197368e+01|1.0573189973e+06
09/17/2014|01:40:00|4.8841762281e+02|6.5561959253e+06|1.0429163158e+02|1.0800322335e+06
09/17/2014|01:50:00|5.6950816667e+02|6.1685006686e+06|1.2012280702e+02|1.2940811228e+06
09/17/2014|02:00:00|5.2134942712e+02|4.4753965727e+06|1.6749196336e+02|3.9929096356e+06
09/17/2014|02:10:00|4.4146757155e+02|5.8626716681e+06|2.1691969276e+02|6.5042318847e+06
09/17/2014|02:20:00|5.2299245747e+02|5.9875642307e+06|2.8296853686e+02|9.4458884193e+06
09/17/2014|02:30:00|5.4097532873e+02|4.5762656737e+06|9.6466071726e+01|1.4232845326e+06
09/17/2014|02:40:00|5.3698422391e+02|6.8694816746e+06|9.8567099327e+01|1.0942179314e+06
09/17/2014|02:50:00|7.5860342105e+02|7.8090717373e+06|1.4606653947e+02|3.0307686714e+06
09/17/2014|03:00:00|2.8195928265e+02|2.7485991937e+06|1.2160977029e+02|1.9967299763e+06
09/17/2014|03:10:00|1.6395892389e+02|2.9862571322e+06|9.6294930666e+01|1.4948286977e+06
09/17/2014|03:20:00|2.7727404785e+02|7.0183343301e+06|1.2821059729e+02|3.2037367422e+06
09/17/2014|03:30:00|2.0126774561e+02|2.8634652385e+06|8.3467543860e+01|1.1743534260e+06
09/17/2014|03:40:00|2.9081677193e+02|4.7139712539e+06|6.6378070175e+01|8.2978539340e+05
09/17/2014|03:50:00|1.6047630702e+02|2.9485947149e+06|5.9787464912e+01|7.9263631270e+05
09/17/2014|04:00:00|1.6226009649e+02|1.5613792876e+06|9.4633131579e+01|1.6190958484e+06
09/17/2014|04:10:00|1.8113472807e+02|4.2640607169e+06|1.3260969298e+02|3.5178525956e+06
09/17/2014|04:20:00|3.3133117544e+02|4.2573140749e+06|9.0768092105e+01|1.7649774776e+06
09/17/2014|04:30:00|1.1880622807e+02|1.1082141058e+06|7.6244486842e+01|1.0063768320e+06
09/17/2014|04:40:00|2.0510718421e+02|4.3984104196e+06|8.1931675439e+01|9.6309699818e+05
