Date|Time|in|out|pktin|pktout
09/16/2014|23:50:00|8.3873867544e+02|8.3354004825e+02|7.8345394737e+00|8.0728355263e+00
09/17/2014|00:00:00|7.9329507456e+02|8.1653703509e+02|7.2841688596e+00|7.9131228070e+00
09/17/2014|00:10:00|7.9262948684e+02|8.1119868421e+02|7.2953750000e+00|7.8516491228e+00
09/17/2014|00:20:00|8.1055201316e+02|8.2620389912e+02|7.4888750000e+00|7.9923925439e+00
09/17/2014|00:30:00|8.1150982895e+02|8.0567334649e+02|7.5329583333e+00|7.7673355263e+00
09/17/2014|00:40:00|8.2254773923e+02|8.2164593381e+02|7.6479621212e+00|7.9330394737e+00
09/17/2014|00:50:00|7.9663668182e+02|8.1948055303e+02|7.3230378788e+00|7.9383750000e+00
09/17/2014|01:00:00|8.2456045614e+02|8.1103240789e+02|7.6862807018e+00|7.8120504386e+00
09/17/2014|01:10:00|8.1964521053e+02|8.0119859211e+02|7.6267192982e+00|7.6606162281e+00
09/17/2014|01:20:00|8.1678782456e+02|7.9302188158e+02|7.6059736842e+00|7.5736732456e+00
09/17/2014|01:30:00|8.1670042544e+02|8.1515645175e+02|7.5844846491e+00|7.8636600877e+00
09/17/2014|01:40:00|8.2356524123e+02|8.1960305702e+02|7.6492609649e+00|7.9222346491e+00
09/17/2014|01:50:00|8.0889881036e+02|8.2662320092e+02|7.4674553049e+00|8.0040411445e+00
09/17/2014|02:00:00|8.0645186508e+02|8.0670040873e+02|7.4629087302e+00|7.7548908730e+00
09/17/2014|02:10:00|8.1711516667e+02|8.2690075000e+02|7.5677500000e+00|8.0072916667e+00
09/17/2014|02:20:00|7.9262633333e+02|8.1756291667e+02|7.2843333333e+00|7.9268750000e+00
09/17/2014|02:30:00|8.0580847368e+02|8.1777589912e+02|7.4476315789e+00|7.9028925439e+00
09/17/2014|02:40:00|8.3966454147e+02|8.2267835088e+02|7.8469517544e+00|7.9300430622e+00
09/17/2014|02:50:00|8.1646498485e+02|8.0895850000e+02|7.5827500000e+00|7.7905227273e+00
09/17/2014|03:00:00|8.0893103509e+02|8.0977572807e+02|7.4918070175e+00|7.8152850877e+00
09/17/2014|03:10:00|8.0758863158e+02|8.0790002193e+02|7.4678596491e+00|7.7561732456e+00
09/17/2014|03:20:00|8.2860368421e+02|8.1062520614e+02|7.7341929825e+00|7.7817039474e+00
09/17/2014|03:30:00|8.1336511882e+02|7.8674187719e+02|7.5739964115e+00|7.5139513557e+00
09/17/2014|03:40:00|8.4008569697e+02|8.2650008333e+02|7.8475606061e+00|7.9702613636e+00
09/17/2014|03:50:00|8.0020693860e+02|8.2980761842e+02|7.3657061404e+00|8.0681907895e+00
09/17/2014|04:00:00|8.0776497807e+02|8.1847638158e+02|7.4732521930e+00|7.9373092105e+00
09/17/2014|04:10:00|7.9942379386e+02|8.1208986404e+02|7.3694144737e+00|7.8376030702e+00
09/17/2014|04:20:00|8.1255012281e+02|8.0958063596e+02|7.5335438596e+00|7.7979802632e+00
09/17/2014|04:30:00|8.1335992982e+02|8.0517271491e+02|7.5501842105e+00|7.7518706140e+00
09/17/2014|04:40:00|8.1187790351e+02|8.2714877751e+02|7.5010203349e+00|8.0184134769e+00
09/17/2014|04:50:00|8.2465107895e+02|8.1994545056e+02|7.6650147528e+00|7.9115602073e+00
09/17/2014|05:00:00|8.2137620893e+02|7.9717236762e+02|7.6604170654e+00|7.6425610048e+00
09/17/2014|05:10:00|8.2706521212e+02|8.0841135606e+02|7.7078636364e+00|7.7645946970e+00
09/17/2014|05:20:00|8.0177429825e+02|8.0246952193e+02|7.4054736842e+00|7.7114495614e+00
09/17/2014|05:30:00|8.2286545175e+02|8.0578514474e+02|7.6672346491e+00|7.7412171053e+00
09/17/2014|05:40:00|8.1888039035e+02|8.2389885526e+02|7.5897039474e+00|7.9749057018e+00
09/17/2014|05:50:00|8.0023496491e+02|8.0595315789e+02|7.3920438596e+00|7.7698771930e+00
09/17/2014|06:00:00|8.1327881140e+02|8.3037390351e+02|7.5218355263e+00|8.0602587719e+00
09/17/2014|06:10:00|8.0341471491e+02|8.2786746491e+02|7.4037346491e+00|8.0416184211e+00
09/17/2014|06:20:00|8.1848036842e+02|8.2066528509e+02|7.5946403509e+00|7.9285065789e+00
09/17/2014|06:30:00|8.2564903509e+02|8.0246190789e+02|7.7015701754e+00|7.7032653509e+00
09/17/2014|06:40:00|8.1556661404e+02|8.1487184211e+02|7.5643947368e+00|7.8710614035e+00
09/17/2014|06:50:00|8.0948718421e+02|8.0851900000e+02|7.4924517544e+00|7.7801315789e+00
09/17/2014|07:00:00|8.0484486842e+02|8.0166277193e+02|7.4526622807e+00|7.6971929825e+00
09/17/2014|07:10:00|8.2653646491e+02|8.1478606140e+02|7.6955043860e+00|7.8525570175e+00
09/17/2014|07:20:00|8.2305483333e+02|7.8946114912e+02|7.6889517544e+00|7.5319078947e+00
09/17/2014|07:30:00|8.2194016667e+02|8.3649701754e+02|7.6177149123e+00|8.1318421053e+00
09/17/2014|07:40:00|7.9071133333e+02|8.1627058333e+02|7.2561666667e+00|7.9113750000e+00
09/17/2014|07:50:00|8.1322637719e+02|8.2654148684e+02|7.5261798246e+00|8.0027653509e+00
09/17/2014|08:00:00|8.0115075917e+02|8.0560536922e+02|7.4067065391e+00|7.7701399522e+00
09/17/2014|08:10:00|8.1112319697e+02|8.1162781061e+02|7.5081136364e+00|7.8189280303e+00
09/17/2014|08:20:00|8.0944985088e+02|8.2005432895e+02|7.4868377193e+00|7.9355285088e+00
09/17/2014|08:30:00|8.2551387640e+02|8.3471369378e+02|7.6716925837e+00|8.0986267943e+00
09/17/2014|08:40:00|8.1176052273e+02|8.1046056061e+02|7.5199280303e+00|7.8065530303e+00
09/17/2014|08:50:00|8.2078796930e+02|7.9704072807e+02|7.6511425439e+00|7.6234342105e+00
09/17/2014|09:00:00|8.2391669737e+02|8.0407260526e+02|7.6798574561e+00|7.7002324561e+00
09/17/2014|09:10:00|8.0226614474e+02|8.0175816667e+02|7.4221250000e+00|7.7097500000e+00
09/17/2014|09:20:00|8.3531188304e+02|8.2008334127e+02|7.7952222222e+00|7.8863928571e+00
09/17/2014|09:30:00|8.1711430994e+02|8.2997874645e+02|7.5798742690e+00|8.0450545113e+00
09/17/2014|09:40:00|8.0414703509e+02|8.0599484211e+02|7.4367105263e+00|7.7688245614e+00
09/17/2014|09:50:00|7.9921337719e+02|8.1939182018e+02|7.3617763158e+00|7.9331864035e+00
09/17/2014|10:00:00|8.0789734211e+02|8.2081774123e+02|7.4668114035e+00|7.9592609649e+00
09/17/2014|10:10:00|8.1000002153e+02|8.1214409968e+02|7.4940219298e+00|7.8273488836e+00
09/17/2014|10:20:00|8.2619860606e+02|8.0690989394e+02|7.7135151515e+00|7.7608712121e+00
09/17/2014|10:30:00|8.1839419697e+02|8.2488984848e+02|7.5847348485e+00|7.9962272727e+00
09/17/2014|10:40:00|8.1272914035e+02|8.0955943860e+02|7.5326754386e+00|7.7990701754e+00
09/17/2014|10:50:00|8.1495226316e+02|8.0157922807e+02|7.5746929825e+00|7.6957894737e+00
09/17/2014|11:00:00|8.1439254887e+02|7.9554446825e+02|7.5677188805e+00|7.6128586048e+00
09/17/2014|11:10:00|8.2292629762e+02|8.0422628175e+02|7.6702043651e+00|7.6904067460e+00
09/17/2014|11:20:00|8.1205404825e+02|8.2319146053e+02|7.5115767544e+00|7.9685416667e+00
09/17/2014|11:30:00|7.9983461842e+02|8.2215537281e+02|7.3645899123e+00|7.9788750000e+00
09/17/2014|11:40:00|8.1570417105e+02|8.3111445175e+02|7.5486118421e+00|8.0720548246e+00
09/17/2014|11:50:00|8.0364905263e+02|8.0042766667e+02|7.4389824561e+00|7.6961666667e+00
09/17/2014|12:00:00|8.1154800000e+02|8.1888540351e+02|7.5107719298e+00|7.9199649123e+00
09/17/2014|12:10:00|8.1175269298e+02|8.1175814474e+02|7.5210921053e+00|7.8203135965e+00
09/17/2014|12:20:00|8.1871469298e+02|8.2212687281e+02|7.6011973684e+00|7.9643355263e+00
09/17/2014|12:30:00|8.1091056459e+02|8.1184281659e+02|7.5139920255e+00|7.8285773525e+00
09/17/2014|12:40:00|8.3026465909e+02|7.9645156061e+02|7.7617689394e+00|7.6071287879e+00
09/17/2014|12:50:00|8.0854325000e+02|8.0676706140e+02|7.4929495614e+00|7.7785219298e+00
09/17/2014|13:00:00|8.0359075000e+02|8.0366143860e+02|7.4243837719e+00|7.7288947368e+00
09/17/2014|13:10:00|8.3473858333e+02|8.1633866667e+02|7.8002478070e+00|7.8787368421e+00
09/17/2014|13:20:00|8.0221780702e+02|8.0383954386e+02|7.4180964912e+00|7.7365438596e+00
09/17/2014|13:30:00|8.1747019298e+02|8.2027937281e+02|7.5784473684e+00|7.9304276316e+00
09/17/2014|13:40:00|1.0225466061e+03|1.0041601742e+03|8.8546060606e+00|9.4562310606e+00
09/17/2014|13:50:00|8.3371639394e+02|8.4516932576e+02|7.6765606061e+00|8.1653522727e+00
09/17/2014|14:00:00|8.2139658333e+02|8.1727083333e+02|7.5839583333e+00|7.8327500000e+00
