Date|Time|load15|load5|load1
09/16/2014|23:50:00|4.9661666667e-01|4.7865000000e-01|4.7616666667e-01
09/17/2014|00:00:00|5.9051666667e-01|6.7931666667e-01|7.4896666667e-01
09/17/2014|00:10:00|6.0351666667e-01|6.0173333333e-01|5.1041666667e-01
09/17/2014|00:20:00|4.8485000000e-01|3.7515000000e-01|3.1076666667e-01
09/17/2014|00:30:00|4.9141666667e-01|5.1223333333e-01|6.0871666667e-01
09/17/2014|00:40:00|4.9176666667e-01|4.7138333333e-01|3.9461666667e-01
09/17/2014|00:50:00|4.3758333333e-01|3.8982500000e-01|3.8535000000e-01
09/17/2014|01:00:00|4.6876666667e-01|5.2132500000e-01|6.0010000000e-01
09/17/2014|01:10:00|5.1496666667e-01|5.4940000000e-01|5.2636666667e-01
09/17/2014|01:20:00|4.8020833333e-01|4.5989166667e-01|4.6312500000e-01
09/17/2014|01:30:00|4.4530833333e-01|3.9650833333e-01|3.4517500000e-01
09/17/2014|01:40:00|4.3510833333e-01|4.3900000000e-01|4.5026666667e-01
09/17/2014|01:50:00|4.2950833333e-01|4.3880000000e-01|4.4140000000e-01
09/17/2014|02:00:00|4.3818333333e-01|4.6758333333e-01|5.4341666667e-01
09/17/2014|02:10:00|5.0010000000e-01|5.4219166667e-01|4.7453333333e-01
09/17/2014|02:20:00|4.7174166667e-01|4.3614166667e-01|3.9853333333e-01
09/17/2014|02:30:00|4.4412500000e-01|4.3531666667e-01|4.8351666667e-01
09/17/2014|02:40:00|4.6445833333e-01|4.5958333333e-01|4.1675000000e-01
09/17/2014|02:50:00|4.4495833333e-01|4.3271666667e-01|4.3595000000e-01
09/17/2014|03:00:00|4.5725000000e-01|4.8390000000e-01|5.0843333333e-01
09/17/2014|03:10:00|4.5033333333e-01|4.3107500000e-01|4.0940833333e-01
09/17/2014|03:20:00|4.5491666667e-01|4.6427500000e-01|4.5524166667e-01
09/17/2014|03:30:00|4.8825000000e-01|5.3048333333e-01|5.9685000000e-01
09/17/2014|03:40:00|5.4010833333e-01|5.9425833333e-01|5.9076666667e-01
09/17/2014|03:50:00|5.2915000000e-01|5.1100833333e-01|4.3724166667e-01
09/17/2014|04:00:00|4.9619166667e-01|4.7098333333e-01|5.1672500000e-01
09/17/2014|04:10:00|5.7393333333e-01|6.3351666667e-01|6.2783333333e-01
