Date|Time|in|out|pktin|pktout
09/16/2014|23:50:00|1.1742347241e+05|1.0069977793e+05|3.8910133772e+02|3.8459637061e+02
09/17/2014|00:00:00|1.1886420946e+05|1.0189694158e+05|3.9389387500e+02|3.8920079167e+02
09/17/2014|00:10:00|1.1741488675e+05|1.0068091408e+05|3.8880691667e+02|3.8420075000e+02
09/17/2014|00:20:00|1.1924542308e+05|1.0231469867e+05|3.9533570833e+02|3.9068950000e+02
09/17/2014|00:30:00|1.1876177088e+05|1.0186402358e+05|3.9412029167e+02|3.8951400000e+02
09/17/2014|00:40:00|1.1838001496e+05|1.0150811071e+05|3.9236370833e+02|3.8772920833e+02
09/17/2014|00:50:00|1.1775813115e+05|1.0092076391e+05|3.8982616228e+02|3.8527426535e+02
09/17/2014|01:00:00|1.1858207710e+05|1.0167951413e+05|3.9282771272e+02|3.8820910965e+02
09/17/2014|01:10:00|1.1872509268e+05|1.0176354570e+05|3.9323670040e+02|3.8857698016e+02
09/17/2014|01:20:00|1.1743445211e+05|1.0075247396e+05|3.8912913294e+02|3.8465506151e+02
09/17/2014|01:30:00|1.1919810373e+05|1.0226257361e+05|3.9537126096e+02|3.9073871711e+02
09/17/2014|01:40:00|1.1819326710e+05|1.0125692643e+05|3.9064669737e+02|3.8600494956e+02
09/17/2014|01:50:00|1.1825658958e+05|1.0146020504e+05|3.9200720833e+02|3.8740608333e+02
09/17/2014|02:00:00|1.1675290617e+05|1.0010854429e+05|3.8667100000e+02|3.8212870833e+02
09/17/2014|02:10:00|1.1926881304e+05|1.0226183300e+05|3.9503183333e+02|3.9028583333e+02
09/17/2014|02:20:00|1.1774327021e+05|1.0094955179e+05|3.8944079167e+02|3.8487179167e+02
09/17/2014|02:30:00|1.1881166864e+05|1.0191324379e+05|3.9403532895e+02|3.8944461623e+02
09/17/2014|02:40:00|1.1846321107e+05|1.0158074405e+05|3.9239837939e+02|3.8777434211e+02
09/17/2014|02:50:00|1.1787883154e+05|1.0105421238e+05|3.9043729563e+02|3.8579196825e+02
09/17/2014|03:00:00|1.1820817030e+05|1.0137202032e+05|3.9138266270e+02|3.8681449008e+02
09/17/2014|03:10:00|1.1880146917e+05|1.0178793821e+05|3.9371862500e+02|3.8904670833e+02
09/17/2014|03:20:00|1.1739764575e+05|1.0076216929e+05|3.8857025000e+02|3.8407358333e+02
09/17/2014|03:30:00|1.1849197612e+05|1.0165926513e+05|3.9335937500e+02|3.8880879167e+02
09/17/2014|03:40:00|1.1854227392e+05|1.0160453375e+05|3.9274958333e+02|3.8809500000e+02
09/17/2014|03:50:00|1.1795024546e+05|1.0109502729e+05|3.9056804167e+02|3.8596516667e+02
09/17/2014|04:00:00|1.1791648246e+05|1.0113808142e+05|3.9061866667e+02|3.8608708333e+02
09/17/2014|04:10:00|1.1769376358e+05|1.0090329992e+05|3.8952383333e+02|3.8492154167e+02
09/17/2014|04:20:00|1.1914166879e+05|1.0215234817e+05|3.9466633333e+02|3.9002000000e+02
09/17/2014|04:30:00|1.1894113492e+05|1.0202241684e+05|3.9438344643e+02|3.8973435714e+02
09/17/2014|04:40:00|1.1761262516e+05|1.0085305866e+05|3.8942022024e+02|3.8485943452e+02
09/17/2014|04:50:00|1.1828576408e+05|1.0138614388e+05|3.9195804167e+02|3.8738675000e+02
09/17/2014|05:00:00|1.1804501200e+05|1.0113298046e+05|3.9082225000e+02|3.8622937500e+02
09/17/2014|05:10:00|1.1726968392e+05|1.0056248025e+05|3.8786395833e+02|3.8336112500e+02
09/17/2014|05:20:00|1.1841652935e+05|1.0165924172e+05|3.9209754605e+02|3.8754283553e+02
09/17/2014|05:30:00|1.1938246182e+05|1.0256271390e+05|3.9632216228e+02|3.9175428947e+02
09/17/2014|05:40:00|1.1947742194e+05|1.0255220269e+05|3.9539821032e+02|3.9077673810e+02
09/17/2014|05:50:00|1.1819281481e+05|1.0139045956e+05|3.8981549802e+02|3.8520334524e+02
09/17/2014|06:00:00|1.1850825412e+05|1.0165187879e+05|3.9122183333e+02|3.8660925000e+02
09/17/2014|06:10:00|1.1878307525e+05|1.0190478471e+05|3.9170420833e+02|3.8711050000e+02
09/17/2014|06:20:00|1.1888104454e+05|1.0204711396e+05|3.9275975000e+02|3.8814495833e+02
09/17/2014|06:30:00|1.1944698189e+05|1.0243628194e+05|3.9455237281e+02|3.8982929605e+02
09/17/2014|06:40:00|1.1860888586e+05|1.0184614468e+05|3.9205537719e+02|3.8751024561e+02
09/17/2014|06:50:00|1.1842871425e+05|1.0154578321e+05|3.9103441667e+02|3.8637933333e+02
09/17/2014|07:00:00|1.1820987071e+05|1.0138440687e+05|3.9016500000e+02|3.8556979167e+02
09/17/2014|07:10:00|1.1842953146e+05|1.0157837367e+05|3.9085162500e+02|3.8622637500e+02
09/17/2014|07:20:00|1.1748159050e+05|1.0087452729e+05|3.8826570833e+02|3.8376654167e+02
09/17/2014|07:30:00|1.1951544404e+05|1.0246294554e+05|3.9502845833e+02|3.9031829167e+02
09/17/2014|07:40:00|1.1903771421e+05|1.0218303417e+05|3.9357841667e+02|3.8894887500e+02
09/17/2014|07:50:00|1.1833861821e+05|1.0149269538e+05|3.9091920833e+02|3.8630612500e+02
09/17/2014|08:00:00|1.1850196667e+05|1.0163323796e+05|3.9160341667e+02|3.8700425000e+02
09/17/2014|08:10:00|1.1888082008e+05|1.0198905463e+05|3.9282158333e+02|3.8820637500e+02
09/17/2014|08:20:00|1.1826714966e+05|1.0147280468e+05|3.9082683333e+02|3.8625128373e+02
09/17/2014|08:30:00|1.1890583859e+05|1.0195029469e+05|3.9280975000e+02|3.8815871627e+02
09/17/2014|08:40:00|1.1889809658e+05|1.0204402208e+05|3.9312587500e+02|3.8852579167e+02
09/17/2014|08:50:00|1.1737742483e+05|1.0072418271e+05|3.8740483333e+02|3.8288179167e+02
09/17/2014|09:00:00|1.1947247800e+05|1.0245347829e+05|3.9476754167e+02|3.9012404167e+02
09/17/2014|09:10:00|1.1835795355e+05|1.0149243045e+05|3.9095742982e+02|3.8637546930e+02
09/17/2014|09:20:00|1.1766235504e+05|1.0105516876e+05|3.8858686184e+02|3.8408969737e+02
09/17/2014|09:30:00|1.1951055596e+05|1.0249546408e+05|3.9523437500e+02|3.9057216667e+02
