Date|Time|racc|rbyt|wacc|wbyt
09/16/2014|23:50:00|1.8340360263e+03|1.4075519443e+07|3.5537436842e+02|3.0527724778e+06
09/17/2014|00:00:00|2.4333540754e+03|2.0819440750e+07|4.3926779665e+02|4.6215377406e+06
09/17/2014|00:10:00|1.6654575387e+03|1.4073969590e+07|2.5658593142e+02|3.0560458036e+06
09/17/2014|00:20:00|1.0845101140e+03|8.3833341215e+06|2.0018078947e+02|1.7191311944e+06
09/17/2014|00:30:00|1.2012660351e+03|1.0059797351e+07|2.1201573684e+02|1.8837724564e+06
09/17/2014|00:40:00|1.1202573915e+03|8.6584981052e+06|2.2422154386e+02|2.0746541945e+06
09/17/2014|00:50:00|1.3535536955e+03|9.8533258896e+06|2.4668076608e+02|2.2299758663e+06
09/17/2014|01:00:00|1.1670188340e+03|9.4647631615e+06|2.1455053216e+02|2.0899564913e+06
09/17/2014|01:10:00|9.8298773684e+02|7.7236873072e+06|2.0623065789e+02|1.7572640741e+06
09/17/2014|01:20:00|1.1049887824e+03|8.8987050869e+06|2.0756390121e+02|1.7314180733e+06
09/17/2014|01:30:00|9.3511073517e+02|8.0868130650e+06|1.7468568651e+02|1.5687973440e+06
09/17/2014|01:40:00|8.0104228070e+02|7.2391694630e+06|1.5682966667e+02|1.4184740963e+06
09/17/2014|01:50:00|9.5989310526e+02|7.9273869530e+06|1.7524007018e+02|1.5704335135e+06
09/17/2014|02:00:00|1.5060809474e+03|1.4401694904e+07|2.7708008772e+02|3.6868911697e+06
09/17/2014|02:10:00|1.5730978442e+03|1.4561070850e+07|3.0191296115e+02|3.0020067403e+06
09/17/2014|02:20:00|1.3915671032e+03|1.1594628605e+07|2.5219867262e+02|2.5746360645e+06
09/17/2014|02:30:00|1.3977757544e+03|1.0927752018e+07|2.4738105921e+02|2.3192131840e+06
09/17/2014|02:40:00|8.4759650752e+02|7.4472037164e+06|1.4766091103e+02|1.3966375010e+06
09/17/2014|02:50:00|1.2826328697e+03|9.9628109183e+06|2.4021804511e+02|2.2353893746e+06
09/17/2014|03:00:00|1.3670176491e+03|1.0509475000e+07|2.3392018421e+02|2.1373282627e+06
