Date|Time|in|out|pktin|pktout
09/17/2014|00:00:00|2.2443785056e+04|1.3643861272e+04|2.3243311683e+02|3.3440438198e+01
09/17/2014|00:10:00|6.5384951829e+04|1.3629154306e+04|2.6404643254e+02|3.3425789683e+01
09/17/2014|00:20:00|2.2544614526e+04|1.3600324181e+04|2.3287357185e+02|3.3047609440e+01
09/17/2014|00:30:00|2.2615811145e+04|1.3568758846e+04|2.3393974561e+02|3.2482767544e+01
09/17/2014|00:40:00|2.2561806500e+04|1.3627318917e+04|2.3341441667e+02|3.2355916667e+01
09/17/2014|00:50:00|2.2512188373e+04|1.3531145307e+04|2.3322783772e+02|3.2585929825e+01
09/17/2014|01:00:00|2.3703143561e+04|1.3560773193e+04|2.4590757895e+02|3.2386807018e+01
09/17/2014|01:10:00|2.2567766066e+04|1.3611920167e+04|2.3361366667e+02|3.2702429825e+01
09/17/2014|01:20:00|2.2602918952e+04|1.3469320342e+04|2.3337205263e+02|3.2472447368e+01
09/17/2014|01:30:00|2.2535617965e+04|1.3526636070e+04|2.3344492982e+02|3.2397000000e+01
09/17/2014|01:40:00|2.2345400417e+04|1.3646553171e+04|2.3237651754e+02|3.2719385965e+01
09/17/2014|01:50:00|2.3133970000e+04|1.3618808833e+04|2.3494450000e+02|3.3480916667e+01
09/17/2014|02:00:00|2.2654935811e+04|1.3556521048e+04|2.3356840351e+02|3.2504521930e+01
09/17/2014|02:10:00|2.2671264081e+04|1.3580141313e+04|2.3570041395e+02|3.2719926483e+01
09/17/2014|02:20:00|2.2615455954e+04|1.3587240178e+04|2.3338967377e+02|3.2689933166e+01
09/17/2014|02:30:00|3.4518028549e+05|1.3542581711e+04|4.5899834211e+02|3.2535618421e+01
09/17/2014|02:40:00|2.3197442917e+04|1.3634645500e+04|2.3605050000e+02|3.3363250000e+01
09/17/2014|02:50:00|2.2941230842e+04|1.3572697123e+04|2.4011471930e+02|3.2664798246e+01
09/17/2014|03:00:00|2.2631489936e+04|1.3552414885e+04|2.3387449499e+02|3.3076963659e+01
09/17/2014|03:10:00|2.2668661257e+04|1.3624394641e+04|2.3475027694e+02|3.3053194236e+01
09/17/2014|03:20:00|2.2877091465e+04|1.3667646684e+04|2.3541492544e+02|3.3820210526e+01
09/17/2014|03:30:00|2.2815937000e+04|1.3567227000e+04|2.3485658333e+02|3.2946000000e+01
09/17/2014|03:40:00|2.6862332833e+04|1.3560405833e+04|2.3602416667e+02|3.2844666667e+01
09/17/2014|03:50:00|2.3966555874e+04|1.3646486830e+04|2.3476235965e+02|3.3316476874e+01
09/17/2014|04:00:00|2.3288471959e+04|1.3567449837e+04|2.3341780702e+02|3.2332606459e+01
09/17/2014|04:10:00|1.1721000485e+06|1.3709902675e+04|1.0401475965e+03|3.2834793860e+01
09/17/2014|04:20:00|2.8566435042e+05|1.4437647298e+04|4.2177192982e+02|3.6090526316e+01
09/17/2014|04:30:00|3.4304135162e+04|1.3407018110e+04|2.4393764035e+02|3.2492846491e+01
09/17/2014|04:40:00|2.8878540189e+04|1.3564645101e+04|2.4094676316e+02|3.2449732456e+01
09/17/2014|04:50:00|2.2823935228e+04|1.3511836482e+04|2.3347315351e+02|3.2571767544e+01
09/17/2014|05:00:00|2.4456899833e+04|1.3572805000e+04|2.3460291667e+02|3.2885250000e+01
09/17/2014|05:10:00|2.2468444667e+04|1.3664146750e+04|2.3292733333e+02|3.2815333333e+01
09/17/2014|05:20:00|2.3184769250e+04|1.3713724000e+04|2.3517025000e+02|3.3319500000e+01
09/17/2014|05:30:00|2.6632792500e+04|1.3512267750e+04|2.3699933333e+02|3.2761666667e+01
09/17/2014|05:40:00|3.1979872167e+04|1.3587410500e+04|2.4107841667e+02|3.2707333333e+01
09/17/2014|05:50:00|3.9009370671e+04|1.3563082518e+04|2.4566478947e+02|3.2475587719e+01
09/17/2014|06:00:00|2.3729758246e+04|1.3460095566e+04|2.3851387719e+02|3.2171578947e+01
09/17/2014|06:10:00|2.2701986649e+04|1.3540680487e+04|2.3408141228e+02|3.2497263158e+01
09/17/2014|06:20:00|2.2983815113e+04|1.3689773803e+04|2.3530955597e+02|3.2950586048e+01
09/17/2014|06:30:00|2.2716409607e+04|1.3586165688e+04|2.3431883876e+02|3.2594133250e+01
09/17/2014|06:40:00|2.2888420965e+04|1.3523565272e+04|2.3539044298e+02|3.2291684211e+01
09/17/2014|06:50:00|2.4596617281e+04|1.3525209219e+04|2.4471167982e+02|3.2386578947e+01
09/17/2014|07:00:00|2.2504149469e+04|1.3629615864e+04|2.3266232018e+02|3.3105754386e+01
09/17/2014|07:10:00|2.3522923750e+04|1.3574536417e+04|2.3655683333e+02|3.3379000000e+01
09/17/2014|07:20:00|1.1500712820e+05|1.5462232772e+04|2.9997100439e+02|6.0364982456e+01
09/17/2014|07:30:00|2.6419025132e+04|1.3607517311e+04|2.3889191228e+02|3.2590100877e+01
09/17/2014|07:40:00|2.6674631675e+04|1.3569976461e+04|2.4290066667e+02|3.2859951754e+01
