Date|Time|racc|rbyt|wacc|wbyt
09/17/2014|00:00:00|1.4193333333e+01|2.0397226667e+05|1.1753958333e+01|1.1339291733e+05
09/17/2014|00:10:00|1.2899208333e+01|1.8462754133e+05|9.2673333333e+00|8.3105664000e+04
09/17/2014|00:20:00|1.2275392544e+01|1.7458704168e+05|9.0786557018e+00|8.1762114246e+04
09/17/2014|00:30:00|1.2845107456e+01|1.8380408365e+05|9.1706359649e+00|8.2226365754e+04
09/17/2014|00:40:00|1.3413291667e+01|1.9211929600e+05|9.3516666667e+00|8.3433920000e+04
09/17/2014|00:50:00|1.1942741228e+01|1.6948111719e+05|8.9689429825e+00|8.1054962526e+04
09/17/2014|01:00:00|1.3895758772e+01|1.9869722947e+05|1.1443890351e+01|1.1145746414e+05
09/17/2014|01:10:00|1.3211135965e+01|1.8970072477e+05|9.0145131579e+00|8.2458516211e+04
09/17/2014|01:20:00|1.1974947368e+01|1.6966444014e+05|9.0714473684e+00|8.2151554246e+04
09/17/2014|01:30:00|1.3216543860e+01|1.8980617881e+05|9.2846929825e+00|8.3486531368e+04
09/17/2014|01:40:00|1.3035039474e+01|1.8576147761e+05|9.2000964912e+00|8.2695590175e+04
09/17/2014|01:50:00|1.2238666667e+01|1.7434299733e+05|8.9452083333e+00|8.2637312000e+04
09/17/2014|02:00:00|1.3826293860e+01|1.9821787172e+05|1.1351203947e+01|1.0995361235e+05
09/17/2014|02:10:00|1.2994247807e+01|1.8618490161e+05|9.2387127193e+00|8.2888840982e+04
09/17/2014|02:20:00|1.2232529762e+01|1.7361109740e+05|9.2121686508e+00|9.2235855238e+04
09/17/2014|02:30:00|1.3089714457e+01|1.8625766484e+05|9.2290364927e+00|8.5692833859e+04
09/17/2014|02:40:00|1.3298964115e+01|1.9026371777e+05|9.5590865231e+00|8.7331769569e+04
09/17/2014|02:50:00|1.1999666667e+01|1.7017937291e+05|9.0133640351e+00|8.1950282105e+04
09/17/2014|03:00:00|1.3991638889e+01|2.0094064537e+05|1.1367461362e+01|1.0859465453e+05
09/17/2014|03:10:00|1.2978413743e+01|1.8526307449e+05|9.1318807435e+00|8.2348918804e+04
09/17/2014|03:20:00|1.2873530702e+01|1.8791600056e+05|8.9143771930e+00|8.1407371228e+04
09/17/2014|03:30:00|1.2958875000e+01|1.8563754667e+05|9.1502916667e+00|8.1876160000e+04
09/17/2014|03:40:00|1.2986458333e+01|1.8518732800e+05|9.1253750000e+00|8.2750272000e+04
09/17/2014|03:50:00|1.2109293860e+01|1.7222140407e+05|8.8867368421e+00|8.1540899930e+04
09/17/2014|04:00:00|1.3862747807e+01|1.9861575860e+05|1.1690971491e+01|1.1817272140e+05
09/17/2014|04:10:00|1.3051375000e+01|1.8714552140e+05|9.3413267544e+00|8.5795076491e+04
09/17/2014|04:20:00|1.1979583333e+01|1.6975670793e+05|8.9477149123e+00|8.1649744842e+04
09/17/2014|04:30:00|1.3055708333e+01|1.8722406400e+05|9.1563333333e+00|8.2802602667e+04
09/17/2014|04:40:00|1.2985146930e+01|1.8515985965e+05|9.2502850877e+00|8.2930036772e+04
09/17/2014|04:50:00|1.1955644737e+01|1.6965409235e+05|8.9616732456e+00|8.0422880561e+04
09/17/2014|05:00:00|1.3976583333e+01|2.0067310933e+05|1.1305875000e+01|1.0885209600e+05
