Date|Time|cpuusr|cpunic|cpusys|cpuidl|cpuiow|prochirq|procsirq
09/17/2014|05:30:00|3.1019672944e+00|0.0000000000e+00|5.5446310979e-01|9.5870029637e+01|3.4204125052e-01|0.0000000000e+00|1.3149870818e-01
09/17/2014|05:40:00|3.4439803323e+00|0.0000000000e+00|6.2583591876e-01|9.5412409739e+01|3.7799581365e-01|1.6666666667e-03|1.3811152971e-01
09/17/2014|05:50:00|3.4272108417e+00|0.0000000000e+00|6.6748199126e-01|9.5408105700e+01|3.5885722355e-01|0.0000000000e+00|1.3834424300e-01
09/17/2014|06:00:00|3.0735854905e+00|0.0000000000e+00|5.8133025125e-01|9.5875545909e+01|3.4370461675e-01|0.0000000000e+00|1.2583373299e-01
09/17/2014|06:10:00|3.2958525433e+00|0.0000000000e+00|6.4270715243e-01|9.5523067536e+01|4.0010669960e-01|0.0000000000e+00|1.3826606825e-01
09/17/2014|06:20:00|3.0888148017e+00|0.0000000000e+00|6.1273469035e-01|9.5838438338e+01|3.2082238351e-01|0.0000000000e+00|1.3918978638e-01
09/17/2014|06:30:00|3.0687836892e+00|0.0000000000e+00|5.7674380257e-01|9.5859303435e+01|3.7110901293e-01|0.0000000000e+00|1.2406006040e-01
09/17/2014|06:40:00|4.3566094712e+00|0.0000000000e+00|5.7541303049e-01|9.4568436621e+01|3.7611717611e-01|0.0000000000e+00|1.2342370123e-01
09/17/2014|06:50:00|3.3844889857e+00|0.0000000000e+00|6.4016926363e-01|9.5456449706e+01|3.8562794156e-01|8.3208520553e-04|1.3243201741e-01
09/17/2014|07:00:00|3.3390405773e+00|0.0000000000e+00|6.1349864957e-01|9.5333324913e+01|5.7774933369e-01|0.0000000000e+00|1.3638652666e-01
09/17/2014|07:10:00|3.4875025787e+00|0.0000000000e+00|7.2162987004e-01|9.5157089364e+01|4.9001793458e-01|0.0000000000e+00|1.4376025231e-01
09/17/2014|07:20:00|3.5056057421e+00|0.0000000000e+00|6.5710539457e-01|9.5345710029e+01|3.4654076338e-01|0.0000000000e+00|1.4503807124e-01
09/17/2014|07:30:00|3.2523222582e+00|0.0000000000e+00|6.0934869732e-01|9.5668681588e+01|3.4042244025e-01|0.0000000000e+00|1.2922501618e-01
09/17/2014|07:40:00|3.2303562276e+00|0.0000000000e+00|5.8635321646e-01|9.5731957328e+01|3.2309923284e-01|0.0000000000e+00|1.2823399470e-01
09/17/2014|07:50:00|3.2776310269e+00|0.0000000000e+00|6.4894143754e-01|9.5630218436e+01|3.1990692544e-01|8.3333333333e-04|1.2246884043e-01
09/17/2014|08:00:00|3.0584891860e+00|0.0000000000e+00|5.9034517122e-01|9.5837850508e+01|3.8576771526e-01|0.0000000000e+00|1.2754741999e-01
09/17/2014|08:10:00|3.1648733299e+00|0.0000000000e+00|6.4442826535e-01|9.5679890578e+01|3.8092825183e-01|0.0000000000e+00|1.2987957530e-01
09/17/2014|08:20:00|3.5131861056e+00|0.0000000000e+00|6.7464444383e-01|9.5299943942e+01|3.7965373967e-01|0.0000000000e+00|1.3257176896e-01
09/17/2014|08:30:00|3.1316812670e+00|0.0000000000e+00|5.8948646655e-01|9.5769353945e+01|3.8291609425e-01|0.0000000000e+00|1.2656222717e-01
09/17/2014|08:40:00|3.5017101655e+00|0.0000000000e+00|6.3428948662e-01|9.5290780855e+01|4.2344151030e-01|0.0000000000e+00|1.4977798247e-01
09/17/2014|08:50:00|3.4960980157e+00|0.0000000000e+00|6.3989776533e-01|9.5360375720e+01|3.5528691351e-01|0.0000000000e+00|1.4834158535e-01
09/17/2014|09:00:00|3.3978604644e+00|0.0000000000e+00|6.4177255740e-01|9.5483899448e+01|3.4193451369e-01|0.0000000000e+00|1.3453301608e-01
09/17/2014|09:10:00|3.1064796620e+00|0.0000000000e+00|6.2645085712e-01|9.5813180779e+01|3.2978570884e-01|0.0000000000e+00|1.2410299291e-01
09/17/2014|09:20:00|3.2934390412e+00|0.0000000000e+00|6.1237306424e-01|9.5522050372e+01|4.3483090336e-01|0.0000000000e+00|1.3730661877e-01
09/17/2014|09:30:00|3.2227070798e+00|0.0000000000e+00|6.0735399125e-01|9.5662836729e+01|3.7530995921e-01|8.3416750083e-04|1.3095807277e-01
09/17/2014|09:40:00|4.8400106501e+00|0.0000000000e+00|6.3875192486e-01|9.4049968160e+01|3.4134836606e-01|0.0000000000e+00|1.2992089890e-01
09/17/2014|09:50:00|3.2040281077e+00|0.0000000000e+00|5.8621855971e-01|9.5736546218e+01|3.4743451898e-01|0.0000000000e+00|1.2577259516e-01
09/17/2014|10:00:00|3.3187948232e+00|0.0000000000e+00|6.2251792683e-01|9.5520172842e+01|3.9439595338e-01|0.0000000000e+00|1.4411845417e-01
09/17/2014|10:10:00|3.3964273895e+00|0.0000000000e+00|6.5096017974e-01|9.5379596368e+01|4.3934124275e-01|0.0000000000e+00|1.3367481999e-01
09/17/2014|10:20:00|3.3422724582e+00|0.0000000000e+00|6.1469978350e-01|9.5532503354e+01|3.7559103823e-01|8.3250083250e-04|1.3410086479e-01
09/17/2014|10:30:00|3.4502125798e+00|0.0000000000e+00|6.5315588482e-01|9.5377345963e+01|3.8279502252e-01|0.0000000000e+00|1.3649055035e-01
09/17/2014|10:40:00|3.4940202763e+00|0.0000000000e+00|6.8930741533e-01|9.5328926441e+01|3.4097239501e-01|0.0000000000e+00|1.4677347270e-01
09/17/2014|10:50:00|3.6639491397e+00|0.0000000000e+00|5.9778153971e-01|9.5265137219e+01|3.4231560577e-01|0.0000000000e+00|1.3081649629e-01
09/17/2014|11:00:00|3.9737131326e+00|0.0000000000e+00|6.7073391892e-01|9.4845632047e+01|3.5367968634e-01|8.3416750083e-04|1.5540704744e-01
09/17/2014|11:10:00|3.3838572975e+00|0.0000000000e+00|7.4241171275e-01|9.5349881969e+01|3.6863857235e-01|0.0000000000e+00|1.5521044791e-01
09/17/2014|11:20:00|3.2973791609e+00|0.0000000000e+00|8.1682037454e-01|9.5356144067e+01|3.7249244422e-01|0.0000000000e+00|1.5716395285e-01
09/17/2014|11:30:00|3.4504943372e+00|0.0000000000e+00|7.9447829348e-01|9.5189174561e+01|3.9639761365e-01|0.0000000000e+00|1.6945519432e-01
09/17/2014|11:40:00|3.6311706218e+00|0.0000000000e+00|8.2792606422e-01|9.4973453360e+01|3.9365457409e-01|0.0000000000e+00|1.7379538018e-01
09/17/2014|11:50:00|3.5769121476e+00|0.0000000000e+00|7.6308006244e-01|9.5091664213e+01|4.0226202709e-01|0.0000000000e+00|1.6608154972e-01
09/17/2014|12:00:00|5.5210223387e+00|0.0000000000e+00|1.0203660909e+00|9.2901188414e+01|3.8295919614e-01|8.3375020844e-04|1.7363020995e-01
09/17/2014|12:10:00|3.3577610239e+00|0.0000000000e+00|7.1203348471e-01|9.5370374366e+01|4.0385522696e-01|0.0000000000e+00|1.5597589850e-01
09/17/2014|12:20:00|3.1484849282e+00|0.0000000000e+00|6.5869747928e-01|9.5701291190e+01|3.4643255501e-01|8.3208520553e-04|1.4426176277e-01
09/17/2014|12:30:00|3.1705710159e+00|0.0000000000e+00|6.9406026085e-01|9.5640609589e+01|3.4801503829e-01|0.0000000000e+00|1.4674409616e-01
09/17/2014|12:40:00|4.5854905515e+00|0.0000000000e+00|6.3531375514e-01|9.4309512794e+01|3.4059978692e-01|0.0000000000e+00|1.2908311276e-01
09/17/2014|12:50:00|2.9610035171e+00|0.0000000000e+00|6.0902952066e-01|9.5931891322e+01|3.6210950913e-01|0.0000000000e+00|1.3596613075e-01
09/17/2014|13:00:00|3.2449196553e+00|0.0000000000e+00|7.0637674893e-01|9.5454535307e+01|4.3685805937e-01|0.0000000000e+00|1.5731022969e-01
09/17/2014|13:10:00|3.6202363665e+00|0.0000000000e+00|7.4385282695e-01|9.5054406977e+01|4.2061437005e-01|0.0000000000e+00|1.6088945954e-01
09/17/2014|13:20:00|3.3742823342e+00|0.0000000000e+00|7.3066489267e-01|9.5349866878e+01|3.9706467741e-01|8.3250083250e-04|1.4728871713e-01
09/17/2014|13:30:00|3.6140849082e+00|0.0000000000e+00|7.7060604641e-01|9.5032464583e+01|4.1296231334e-01|0.0000000000e+00|1.6988214852e-01
09/17/2014|13:40:00|3.5730355177e+00|0.0000000000e+00|7.5354672179e-01|9.5132421747e+01|3.8195549036e-01|0.0000000000e+00|1.5904052323e-01
09/17/2014|13:50:00|3.1379789515e+00|0.0000000000e+00|6.6184659857e-01|9.5699930137e+01|3.5912151963e-01|0.0000000000e+00|1.4112279335e-01
09/17/2014|14:00:00|3.1788479463e+00|0.0000000000e+00|7.1751674161e-01|9.5621250497e+01|3.3822674899e-01|8.3001328021e-04|1.4332805322e-01
09/17/2014|14:10:00|2.9762494607e+00|0.0000000000e+00|6.6307358276e-01|9.5820842214e+01|4.0319028950e-01|0.0000000000e+00|1.3664445348e-01
09/17/2014|14:20:00|3.0345371924e+00|0.0000000000e+00|6.5401419191e-01|9.5780818099e+01|3.9646829713e-01|0.0000000000e+00|1.3416221940e-01
09/17/2014|14:30:00|3.1906634231e+00|0.0000000000e+00|6.8361216913e-01|9.5622369611e+01|3.4837564083e-01|8.3458521115e-04|1.5414457103e-01
09/17/2014|14:40:00|3.5610158074e+00|0.0000000000e+00|7.4573842065e-01|9.5082581883e+01|4.4582967111e-01|0.0000000000e+00|1.6483421739e-01
