Date|Time|load15|load5|load1
09/17/2014|00:00:00|3.1922500000e-01|3.4775000000e-01|3.8698333333e-01
09/17/2014|00:10:00|3.2131666667e-01|3.3540000000e-01|3.2261666667e-01
09/17/2014|00:20:00|3.5468333333e-01|3.9456666667e-01|4.2760833333e-01
09/17/2014|00:30:00|3.4565000000e-01|3.4215000000e-01|3.1420000000e-01
09/17/2014|00:40:00|3.2121666667e-01|3.1643333333e-01|3.1650000000e-01
09/17/2014|00:50:00|3.2215000000e-01|3.3660000000e-01|3.3390000000e-01
09/17/2014|01:00:00|3.2886666667e-01|3.5021666667e-01|3.6518333333e-01
09/17/2014|01:10:00|3.8385000000e-01|4.5621666667e-01|5.0763333333e-01
09/17/2014|01:20:00|4.0531666667e-01|4.1290000000e-01|3.5658333333e-01
09/17/2014|01:30:00|3.5143333333e-01|2.8913333333e-01|2.4311666667e-01
09/17/2014|01:40:00|3.3260833333e-01|3.3075000000e-01|3.7475833333e-01
09/17/2014|01:50:00|3.1469166667e-01|3.0426666667e-01|2.9710000000e-01
09/17/2014|02:00:00|3.2545000000e-01|3.3588333333e-01|3.7424166667e-01
09/17/2014|02:10:00|3.1849166667e-01|3.0356666667e-01|2.5629166667e-01
09/17/2014|02:20:00|2.8640833333e-01|2.4301666667e-01|2.2174166667e-01
09/17/2014|02:30:00|2.7163333333e-01|2.6178333333e-01|2.9305833333e-01
09/17/2014|02:40:00|3.0758333333e-01|3.1940000000e-01|3.0633333333e-01
09/17/2014|02:50:00|3.2383333333e-01|3.4290000000e-01|3.5602500000e-01
09/17/2014|03:00:00|3.1701666667e-01|3.1608333333e-01|3.0961666667e-01
09/17/2014|03:10:00|3.2603333333e-01|3.4441666667e-01|3.5633333333e-01
09/17/2014|03:20:00|3.1613333333e-01|3.1247500000e-01|3.3425000000e-01
09/17/2014|03:30:00|3.7863333333e-01|4.2742500000e-01|4.2648333333e-01
09/17/2014|03:40:00|3.6656666667e-01|3.4948333333e-01|3.3355000000e-01
09/17/2014|03:50:00|3.5014166667e-01|3.4765000000e-01|3.5264166667e-01
09/17/2014|04:00:00|3.5977500000e-01|3.6733333333e-01|3.4240000000e-01
09/17/2014|04:10:00|3.5351666667e-01|3.6468333333e-01|3.9529166667e-01
09/17/2014|04:20:00|2.8820000000e-01|2.0980000000e-01|1.3176666667e-01
09/17/2014|04:30:00|2.9553333333e-01|3.0705000000e-01|3.5531666667e-01
09/17/2014|04:40:00|3.1466666667e-01|3.1008333333e-01|2.9291666667e-01
09/17/2014|04:50:00|2.9002500000e-01|2.5313333333e-01|2.5670833333e-01
09/17/2014|05:00:00|2.8837500000e-01|2.7398333333e-01|2.9602500000e-01
09/17/2014|05:10:00|3.6035833333e-01|4.3804166667e-01|4.9342500000e-01
09/17/2014|05:20:00|3.9682500000e-01|4.0879166667e-01|3.5620833333e-01
09/17/2014|05:30:00|3.7248333333e-01|3.3551666667e-01|3.3566666667e-01
09/17/2014|05:40:00|3.3383333333e-01|2.7833333333e-01|2.0816666667e-01
09/17/2014|05:50:00|2.8593333333e-01|2.4690000000e-01|2.8540000000e-01
09/17/2014|06:00:00|3.0195000000e-01|2.8493333333e-01|2.7808333333e-01
09/17/2014|06:10:00|3.2783333333e-01|3.4696666667e-01|4.0176666667e-01
09/17/2014|06:20:00|3.5860000000e-01|3.8730833333e-01|3.7963333333e-01
09/17/2014|06:30:00|3.4418333333e-01|3.4009166667e-01|3.0673333333e-01
09/17/2014|06:40:00|3.2290833333e-01|3.2045833333e-01|2.9364166667e-01
09/17/2014|06:50:00|3.5329166667e-01|3.9660833333e-01|4.7604166667e-01
